hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                          100                        100                        100
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
             78          0.039         722.53        624.098        98.4319        3.79978    0.000413532              1
             79         0.0395        722.515        623.213        99.3017        3.71259       0.000413              1
             80           0.04         722.45        623.114        99.3363        3.62366    0.000412994              1
             81         0.0405        722.339        623.755        98.5845        3.53281    0.000413481              1
             82          0.041        722.185        625.043        97.1426        3.43992    0.000414402              1
             83         0.0415        721.994         626.85        95.1434          3.345     0.00041567              1
             84          0.042        721.771        629.028        92.7436        3.24818    0.000417186              1
             85         0.0425        721.524        631.414        90.1103        3.14971    0.000418843              1
             86          0.043         721.26        633.851        87.4087        3.04995    0.000420534              1
             87         0.0435        720.985        636.194        84.7914        2.94939    0.000422163              1
             88          0.044        720.706        638.316        82.3901        2.84859    0.000423645              1
             89         0.0445        720.428        640.118        80.3097        2.74815    0.000424913              1
             90          0.045        720.155         641.53        78.6257        2.64871    0.000425921              1
             91         0.0455        719.893        642.509        77.3833         2.5509    0.000426639              1
             92          0.046        719.643        643.044         76.599         2.4553    0.000427059              1
             93         0.0465        719.407        643.144        76.2636        2.36246    0.000427188              1
             94          0.047        719.189        642.843        76.3459        2.27283    0.000427047              1
             95         0.0475        718.987         642.19        76.7977        2.18682    0.000426669              1
             96          0.048        718.804        641.246         77.558        2.10474    0.000426094              1
             97         0.0485        718.639        640.081        78.5576         2.0268     0.00042537              1
             98          0.049        718.492        638.768        79.7235        1.95317    0.000424543              1
             99         0.0495        718.363         637.38        80.9824        1.88391    0.000423664              1
            100           0.05        718.251        635.987        82.2638        1.81904    0.000422779              1


   Total mass                       :                 10
   Coordinates of the center of mass:            50.3794        49.9917        50.0803
   Velocity of the center of mass   :          -0.347136      -0.166299       0.362501
   Translational kinetic energy     :            1.39783


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            101         0.0505        718.157        634.654        83.5023        1.75853     0.00042193              1
            102          0.051        718.079        633.439          84.64        1.70229    0.000421157              1
            103         0.0515        718.016        632.389        85.6273        1.65018    0.000420493              1
            104          0.052         717.97        631.546        86.4241        1.60206    0.000419962              1
            105         0.0525        717.938        630.937        87.0006        1.55774    0.000419586              1
            106          0.053        717.921        630.584         87.337        1.51703    0.000419378              1
            107         0.0535        717.917        630.494        87.4233        1.47972    0.000419343              1
            108          0.054        717.927        630.667        87.2594        1.44559    0.000419481              1
            109         0.0545         717.95        631.096        86.8541        1.41442    0.000419787              1
            110          0.055        717.985        631.761        86.2244        1.38597     0.00042025              1
            111         0.0555        718.033        632.639        85.3944        1.36004    0.000420852              1
            112          0.056        718.093        633.698        84.3945        1.33638    0.000421574              1
            113         0.0565        718.164        634.904          83.26        1.31479    0.000422393              1
            114          0.057        718.246        636.216        82.0298        1.29505    0.000423281              1
            115         0.0575        718.339        637.594        80.7451        1.27695    0.000424211              1
            116          0.058        718.442        638.994        79.4483        1.26029    0.000425156              1
            117         0.0585        718.555        640.374        78.1813        1.24487    0.000426086              1
            118          0.059        718.677        641.693        76.9841        1.23051    0.000426975              1
            119         0.0595        718.808        642.914        75.8938        1.21704    0.000427798              1
            120           0.06        718.947        644.004        74.9433        1.20429    0.000428533              1
            121         0.0605        719.093        644.933        74.1603        1.19209    0.000429161              1
            122          0.061        719.246        645.679        73.5664        1.18031    0.000429666              1
            123         0.0615        719.403        646.227        73.1762        1.16881    0.000430039              1
