hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
             62          0.031        719.732        640.295         79.437        5.11506       0.372566              1
             63         0.0315        719.853        644.162        75.6914        5.02528       0.374887              1
             64          0.032        719.998        647.413        72.5856        4.93925       0.376844              1
             65         0.0325        720.165        649.878        70.2877        4.85615       0.378339              1
             66          0.033        720.353        651.433        68.9206        4.77514       0.379298              1
             67         0.0335         720.56        652.007        68.5536        4.69541       0.379682              1
             68          0.034        720.782        651.586         69.196        4.61631       0.379482              1
             69         0.0345        721.016         650.22        70.7956        4.53732       0.378727              1
             70          0.035        721.255        648.015          73.24        4.45809        0.37748              1
             71         0.0355        721.494        645.131        76.3635         4.3784       0.375834              1
             72          0.036        721.725        641.767        79.9579        4.29812       0.373909              1
             73         0.0365         721.94        638.153        83.7872        4.21719       0.371836              1
             74          0.037        722.132        634.528        87.6047        4.13555       0.369758              1
             75         0.0375        722.293        631.122        91.1711        4.05314       0.367809              1
             76          0.038        722.417        628.145        94.2722        3.96983       0.366111              1
             77         0.0385        722.497        625.763        96.7336        3.88544       0.364764              1
             78          0.039         722.53        624.098        98.4319        3.79978       0.363837              1
             79         0.0395        722.515        623.213        99.3017        3.71259       0.363369              1
             80           0.04         722.45        623.114        99.3363        3.62366       0.363363              1
             81         0.0405        722.339        623.755        98.5845        3.53281       0.363792              1
             82          0.041        722.185        625.043        97.1426        3.43992       0.364602              1
             83         0.0415        721.994         626.85        95.1434          3.345       0.365718              1
             84          0.042        721.771        629.028        92.7436        3.24818       0.367052              1
             85         0.0425        721.524        631.414        90.1103        3.14971        0.36851              1
             86          0.043         721.26        633.851        87.4087        3.04995       0.369998              1
             87         0.0435        720.985        636.194        84.7914        2.94939       0.371431              1
             88          0.044        720.706        638.316        82.3901        2.84859       0.372734              1
             89         0.0445        720.428        640.118        80.3097        2.74815       0.373851              1
             90          0.045        720.155         641.53        78.6257        2.64871       0.374737              1
             91         0.0455        719.893        642.509        77.3833         2.5509       0.375369              1
             92          0.046        719.643        643.044         76.599         2.4553       0.375738              1
             93         0.0465        719.407        643.144        76.2636        2.36246       0.375852              1
